Model,Accuracy,F1,AUC,Fold,Scenario
LR,0.8846153846153846,0.88,0.9821428571428572,10,C_Scale
LR,0.9230769230769231,0.9230769230769231,1.0,10,D_Augment_0.5
LR,0.8461538461538461,0.8461538461538461,0.9702380952380952,10,D_Augment_1.0
LR,0.9230769230769231,0.9166666666666666,0.9880952380952381,10,D_Augment_2.0
LR,0.9230769230769231,0.9166666666666666,0.9880952380952381,10,D_Augment_4.0
RF,0.9259259259259259,0.9230769230769231,0.9450549450549451,11,A_Baseline
RF,0.8518518518518519,0.8461538461538461,0.8681318681318682,11,B_Fidelity
RF,0.7037037037037037,0.75,0.9148351648351649,11,C_Scale
RF,0.8888888888888888,0.8888888888888888,0.9505494505494506,11,D_Augment_0.5
RF,0.8888888888888888,0.88,0.9065934065934066,11,D_Augment_1.0
RF,0.8148148148148148,0.782608695652174,0.9120879120879121,11,D_Augment_2.0
RF,0.8518518518518519,0.8571428571428571,0.9285714285714285,11,D_Augment_4.0
XGB,0.8888888888888888,0.8888888888888888,0.956043956043956,11,A_Baseline
XGB,0.8518518518518519,0.8333333333333334,0.8956043956043956,11,B_Fidelity
XGB,0.7407407407407407,0.7586206896551724,0.9120879120879121,11,C_Scale
XGB,0.8888888888888888,0.8888888888888888,0.9065934065934066,11,D_Augment_0.5
XGB,0.8888888888888888,0.8888888888888888,0.9120879120879122,11,D_Augment_1.0
XGB,0.8518518518518519,0.8666666666666667,0.9313186813186813,11,D_Augment_2.0
XGB,0.9259259259259259,0.9230769230769231,0.9835164835164835,11,D_Augment_4.0
KNN,0.8518518518518519,0.8461538461538461,0.8708791208791209,11,A_Baseline
KNN,0.7037037037037037,0.6666666666666666,0.7912087912087913,11,B_Fidelity
KNN,0.7037037037037037,0.7333333333333333,0.8406593406593407,11,C_Scale
KNN,0.7777777777777778,0.7692307692307693,0.8461538461538463,11,D_Augment_0.5
KNN,0.7407407407407407,0.7407407407407407,0.8516483516483517,11,D_Augment_1.0
KNN,0.8518518518518519,0.8461538461538461,0.8928571428571428,11,D_Augment_2.0
KNN,0.7407407407407407,0.7407407407407407,0.8324175824175825,11,D_Augment_4.0
LR,0.8888888888888888,0.88,0.9285714285714286,11,A_Baseline
LR,0.8518518518518519,0.8333333333333334,0.9065934065934066,11,B_Fidelity
LR,0.8888888888888888,0.8888888888888888,0.9615384615384616,11,C_Scale
LR,0.8888888888888888,0.88,0.9285714285714286,11,D_Augment_0.5
LR,0.8518518518518519,0.8461538461538461,0.934065934065934,11,D_Augment_1.0
LR,0.8888888888888888,0.8888888888888888,0.945054945054945,11,D_Augment_2.0
LR,0.8518518518518519,0.8461538461538461,0.945054945054945,11,D_Augment_4.0
RF,0.7777777777777778,0.7692307692307693,0.8763736263736264,12,A_Baseline
RF,0.7407407407407407,0.7407407407407407,0.7747252747252749,12,B_Fidelity
RF,0.8148148148148148,0.782608695652174,0.9285714285714286,12,C_Scale
RF,0.8518518518518519,0.8333333333333334,0.8846153846153846,12,D_Augment_0.5
RF,0.8888888888888888,0.88,0.9258241758241759,12,D_Augment_1.0
RF,0.7777777777777778,0.7692307692307693,0.8956043956043956,12,D_Augment_2.0
RF,0.8518518518518519,0.8333333333333334,0.9230769230769231,12,D_Augment_4.0
XGB,0.8518518518518519,0.8461538461538461,0.8681318681318682,12,A_Baseline
XGB,0.48148148148148145,0.5,0.6538461538461537,12,B_Fidelity
XGB,0.8518518518518519,0.8181818181818182,0.9010989010989012,12,C_Scale
XGB,0.8888888888888888,0.88,0.8846153846153847,12,D_Augment_0.5
XGB,0.8888888888888888,0.88,0.9285714285714286,12,D_Augment_1.0
XGB,0.8518518518518519,0.8181818181818182,0.8791208791208791,12,D_Augment_2.0
XGB,0.8518518518518519,0.8181818181818182,0.901098901098901,12,D_Augment_4.0
KNN,0.8518518518518519,0.8461538461538461,0.9203296703296704,12,A_Baseline
KNN,0.6296296296296297,0.6666666666666666,0.7472527472527474,12,B_Fidelity
KNN,0.9259259259259259,0.9166666666666666,0.9615384615384615,12,C_Scale
KNN,0.7777777777777778,0.7857142857142857,0.8736263736263736,12,D_Augment_0.5
KNN,0.7037037037037037,0.6923076923076923,0.8571428571428572,12,D_Augment_1.0
KNN,0.6296296296296297,0.5833333333333334,0.7857142857142856,12,D_Augment_2.0
KNN,0.8518518518518519,0.8333333333333334,0.945054945054945,12,D_Augment_4.0
LR,0.8148148148148148,0.8148148148148148,0.9065934065934066,12,A_Baseline
LR,0.7777777777777778,0.75,0.8626373626373627,12,B_Fidelity
LR,0.8518518518518519,0.8181818181818182,0.9175824175824177,12,C_Scale
LR,0.8518518518518519,0.8571428571428571,0.9120879120879121,12,D_Augment_0.5
LR,0.8148148148148148,0.7619047619047619,0.9285714285714285,12,D_Augment_1.0
LR,0.8148148148148148,0.8,0.912087912087912,12,D_Augment_2.0
LR,0.8888888888888888,0.8695652173913043,0.967032967032967,12,D_Augment_4.0
RF,0.8518518518518519,0.8461538461538461,0.8324175824175825,13,A_Baseline
RF,0.48148148148148145,0.46153846153846156,0.6043956043956044,13,B_Fidelity
RF,0.6296296296296297,0.5454545454545454,0.7142857142857143,13,C_Scale
RF,0.8518518518518519,0.8461538461538461,0.8296703296703297,13,D_Augment_0.5
RF,0.7037037037037037,0.6666666666666666,0.7692307692307692,13,D_Augment_1.0
RF,0.7407407407407407,0.6956521739130435,0.8681318681318682,13,D_Augment_2.0
RF,0.7407407407407407,0.72,0.771978021978022,13,D_Augment_4.0
XGB,0.7777777777777778,0.75,0.8351648351648351,13,A_Baseline
