Fold,Scenario,Model,model__n_estimators,model__min_samples_split,model__max_depth,model__learning_rate,model__weights,model__n_neighbors,model__solver,model__C
12,D_Augment_0.5,KNN,,,,,distance,7.0,,
12,D_Augment_1.0,KNN,,,,,distance,7.0,,
12,D_Augment_2.0,KNN,,,,,uniform,3.0,,
12,D_Augment_4.0,KNN,,,,,distance,9.0,,
12,A_Baseline,LR,,,,,,,liblinear,0.1
12,B_Fidelity,LR,,,,,,,lbfgs,0.1
12,C_Scale,LR,,,,,,,liblinear,0.1
12,D_Augment_0.5,LR,,,,,,,liblinear,0.1
12,D_Augment_1.0,LR,,,,,,,lbfgs,10.0
12,D_Augment_2.0,LR,,,,,,,liblinear,1.0
12,D_Augment_4.0,LR,,,,,,,liblinear,0.1
13,A_Baseline,RF,100.0,2.0,,,,,,
13,B_Fidelity,RF,50.0,5.0,,,,,,
13,C_Scale,RF,200.0,2.0,10.0,,,,,
13,D_Augment_0.5,RF,50.0,5.0,,,,,,
13,D_Augment_1.0,RF,50.0,5.0,,,,,,
13,D_Augment_2.0,RF,50.0,5.0,,,,,,
13,D_Augment_4.0,RF,100.0,2.0,,,,,,
13,A_Baseline,XGB,50.0,,5.0,0.1,,,,
13,B_Fidelity,XGB,50.0,,5.0,0.1,,,,
13,C_Scale,XGB,100.0,,3.0,0.01,,,,
13,D_Augment_0.5,XGB,100.0,,3.0,0.01,,,,
13,D_Augment_1.0,XGB,100.0,,3.0,0.01,,,,
13,D_Augment_2.0,XGB,50.0,,5.0,0.1,,,,
13,D_Augment_4.0,XGB,100.0,,3.0,0.01,,,,
13,A_Baseline,KNN,,,,,distance,9.0,,
13,B_Fidelity,KNN,,,,,distance,9.0,,
13,C_Scale,KNN,,,,,distance,9.0,,
13,D_Augment_0.5,KNN,,,,,distance,9.0,,
13,D_Augment_1.0,KNN,,,,,uniform,3.0,,
13,D_Augment_2.0,KNN,,,,,distance,9.0,,
13,D_Augment_4.0,KNN,,,,,distance,7.0,,
13,A_Baseline,LR,,,,,,,liblinear,1.0
13,B_Fidelity,LR,,,,,,,liblinear,1.0
13,C_Scale,LR,,,,,,,liblinear,0.1
13,D_Augment_0.5,LR,,,,,,,liblinear,1.0
13,D_Augment_1.0,LR,,,,,,,lbfgs,0.1
13,D_Augment_2.0,LR,,,,,,,liblinear,0.1
13,D_Augment_4.0,LR,,,,,,,lbfgs,10.0
14,A_Baseline,RF,200.0,5.0,,,,,,
14,B_Fidelity,RF,200.0,5.0,,,,,,
14,C_Scale,RF,200.0,2.0,10.0,,,,,
